Albedo	NDVI_StdDev_Antalya	DEM	Aspect	Land_Cover	Precipitation	Slope	Soil_Organic_Carbon	Soil_pH	SoilpH	LST	Clay_Content	SoilTexture	LandUse	Annual_Temperature
171	0.148426	11	0	50	834.2091	0.92741	<Null>	<Null>	75	317.238362	<Null>	4	50	25.552083
171	0.114909	12	0	50	834.2091	0	<Null>	<Null>	74	316.913651	<Null>	7	50	25.552083
181.323529	0.165383	10	180	50	834.2091	0.92741	<Null>	<Null>	73	316.643627	<Null>	4	50	25.552083
146.413793	0.16637	239	148.1967	30	834.2091	2.181631	313.666667	72.333333	74	315.047412	252.333333	7	30	25.164583
188.041667	0.094063	210	172.1543	50	834.2091	8.366322	354.333333	71.333333	73	312.415536	244.333333	7	50	25.164583
180.166667	0.089099	241	0	50	834.2091	0	309.333333	71.666667	71	314.268103	241.666667	7	50	25.164583
191.35	0.098462	14	0	50	834.2091	0.92741	<Null>	<Null>	75	316.906814	<Null>	7	50	25.552083
191.35	0.147115	14	180	50	834.2091	0.92741	<Null>	<Null>	74	317.549402	<Null>	7	50	25.552083
191.275	0.102143	11	211.7991	50	834.2091	2.181532	<Null>	<Null>	74	318.786725	<Null>	4	50	25.552083
191.275	0.107028	6	231.1147	50	837.410093	1.477127	<Null>	<Null>	73	316.858962	<Null>	4	30	25.552083
197.875	0.132854	11	231.1156	50	837.410093	1.477153	<Null>	<Null>	72	316.975175	<Null>	4	50	25.552083
187.536585	0.106598	13	270	50	834.2091	1.150026	<Null>	<Null>	73	316.325751	<Null>	7	50	25.552083
209.16	0.05138	12	105.0451	50	857.367231	3.568435	<Null>	<Null>	73	315.857482	<Null>	7	50	25.164583
209.16	0.144973	12	285.0448	50	834.2091	3.568494	<Null>	<Null>	74	315.507135	<Null>	7	50	25.164583
<Null>	0.149885	20	31.80361	10	834.2091	2.181637	<Null>	<Null>	72	315.320853	<Null>	7	50	25.164583
168.2	0.114301	22	22.4615	60	834.2091	3.008123	<Null>	<Null>	75	314.767134	<Null>	4	50	25.164583
<Null>	0.151217	21	68.04335	10	834.2091	2.479005	<Null>	<Null>	73	318.263768	<Null>	4	10	25.164583
<Null>	0.057446	18	308.88	50	834.2091	1.477296	<Null>	<Null>	75	316.773512	<Null>	4	50	25.164583
153.6	0.139126	20	0	50	834.2091	0.92741	<Null>	<Null>	70	316.018129	<Null>	7	50	25.164583
170.666667	0.070507	21	248.0463	60	834.2091	2.479323	225.666667	71.333333	73	315.604549	265.666667	7	10	25.164583
168.3125	0.113976	30	180	60	857.367231	1.854334	299.666667	72.333333	73	317.686123	258.333333	7	10	25.164583
168.3125	0.072942	61	173.5656	60	857.367231	10.15925	270.666667	72	72	315.43023	270.333333	7	10	25.164583
160.818182	0.093251	20	270	50	834.2091	2.299551	263.333333	70	73	315.898499	267.333333	7	50	25.164583
160.818182	0.130449	21	128.8771	50	834.2091	1.477388	265	69.666667	70	315.700253	257.333333	7	10	25.164583
171	0.191862	47	229.3068	30	834.2091	38.46649	273	71.666667	76	315.18755	249.333333	7	20	25.164583
179.636364	0.146312	26	270	50	834.2091	1.150243	247	71	76	316.691479	248	7	50	25.164583
129.909091	0.099257	23	0	50	834.2091	3.704792	253.666667	<Null>	74	314.992723	<Null>	7	50	25.164583
154.909091	0.137132	25	328.192	60	834.2091	2.181741	274.666667	71.666667	74	315.17046	248.333333	7	10	25.164583
154.909091	0.0386	25	180	60	834.2091	0.92741	273	71.666667	78	315.710507	246.666667	7	60	25.164583
158.545455	0.154608	26	180	60	834.2091	2.780288	255.333333	70.666667	75	316.77693	249.666667	7	50	25.164583
165	0.073552	30	248.0468	60	834.2091	2.479368	265	71.666667	77	316.253973	248.333333	7	30	25.164583
157.642857	0.11489	32	0	60	834.2091	0	244.333333	72.666667	77	315.016649	251	7	30	25.164583
177.448276	0.150326	15	128.8805	60	857.367231	1.47728	245.666667	71.333333	75	316.17194	247.666667	4	50	25.304167
171.74359	0.173341	60	137.0709	50	857.367231	5.053743	267	71.333333	77	312.230963	252	4	50	25.304167
175.307692	0.096869	35	128.8799	60	857.367231	5.889674	337	71.333333	76	312.333504	226	4	30	25.304167
193.310345	0.068503	18	105.0447	10	857.367231	3.568518	236.333333	<Null>	77	313.32473	<Null>	7	30	25.304167
197.25	0.136579	6	180	60	857.367231	1.854334	<Null>	<Null>	78	315.980531	<Null>	7	50	25.597917
140.828571	0.130563	87	128.8756	50	857.367231	2.95291	218.666667	71.666667	74	311.379876	270.666667	4	50	25.304167
189.358974	0.102964	1	0	50	857.367231	0.92741	<Null>	<Null>	74	312.801772	<Null>	7	10	25.597917
180.615385	0.105596	3	0	50	862.4553	0.92741	<Null>	72.666667	73	314.247595	279.666667	7	50	25.597917
74.078947	0.133817	2	90	50	862.4553	1.149895	<Null>	<Null>	70	314.356972	<Null>	4	50	25.597917
260.710526	0.053095	17	109.0673	10	862.4553	8.455531	304.666667	72.333333	73	313.628933	271	7	10	25.597917
155.461538	0.1173	72	180	50	857.367231	7.37886	243	70.666667	74	313.875031	272.666667	4	50	24.766667
179	0.067093	102	143.3389	60	857.367231	11.4089	300	72.333333	75	311.516597	297	4	50	24.766667
170.055556	0.137498	73	172.1521	10	857.367231	8.366364	254	70.666667	73	313.77249	277.666667	4	10	24.766667
170.055556	0.105696	48	151.1307	60	920.529825	9.445521	275.333333	70.666667	74	312.729994	273.333333	4	30	24.766667
157.378378	0.12824	11	197.2292	50	920.529825	3.878326	335.666667	69.666667	76	313.557155	286.666667	4	50	24.766667
142.321429	0.122666	81	180	50	857.367231	0.92741	227.666667	71	75	310.063938	262.666667	4	50	25.304167
188.538462	0.124782	67	148.1944	60	857.367231	4.357061	268	69.666667	76	312.853043	265.333333	7	30	25.304167
184.275	0.075942	27	197.2255	10	857.367231	3.878249	289.666667	71.333333	76	312.32325	228.666667	7	10	25.304167
184.275	0.135136	7	180	50	857.367231	1.854334	273	71.666667	79	313.071796	239	7	50	25.304167
